朝代,地区,姓名,名次,任官经历,著作,出身,婚嫁,轶事
康熙,杭州府海宁州,陈论,治《礼记》。顺治十四年（1657）乡试第四十九名，顺治十八年（1661）会试中式，康熙三年（1664）补殿试，第三甲第六十六名，赐同进士出身，选内弘文院庶吉士。,康熙五年（1666）散馆，授内弘文院检讨，明年充会试同考官。历任侍读学士、少詹事、都察院副都御史、刑部侍郎，康熙三十八年（1699）充河南乡试考官，文学侍从三十余年。因谳案未当罢归，终年七十四岁。著有《旸砚斋诗集》。,,,,"雍正《敕修浙江通志》卷一七八《人物六•文苑一•杭州府•国朝》：“陈论，《乡贤留祀册》：字谢浮，海宁人。顺治辛丑进士，甲辰选翰林，历讲读学士、副都御史，晋刑部侍郎。文学待从三十余年，迁风纪之任，风度端凝，主试中州，所拔皆寒酸。”
《海宁州志稿》卷二八《人物志•名臣•清》：“陈论，字谢浮，号两斋。顺治辛丑中会试，康熙甲辰成进士，选庶常，读书中秘，凡内府金石之藏靡不淹贯，而于国书尤覃思熟习，本朝大著作如《实录》《会典》《平定方略》《皇舆表览》《古辑览》《明史》《类函》诸书纂修考订，皆出其手。丁未分校礼闱，甄拔皆名士。己卯主试中州……由少詹擢副宪，镇静守法，不务为搏击⋯⋯迁少司寇，各省上狱必手自核审，不假吏人……后以一谳案未当；大司寇王士祯手定题稿，事涉论，论不复申辦分过，罢归。家居六年，日手一编自娱，年七十有四卒。”"
康熙,杭州府海宁州,王筠,,,,,,
康熙,杭州府海宁州,徐昶,,,,,,
康熙,杭州府海宁州,虞文彪,,,,,,
康熙,杭州府海宁州,葛惠保,,,,,,
康熙,杭州府海宁州,张曾祚,,,,,,
康熙,杭州府海宁州,钱之焘,,,,,,
康熙,杭州府海宁州,张英,,,,,,同治《鄞县志》卷四一《人物传•皇朝一》：“张嘉昺⋯⋯（子）英，字仲张，幼有圣童之目。康熙十二年进士，官中书舍人，荐举博学鸿词报罢，历官礼、户二部郎中，以佥事提学广东，丁母忧归。英礼闱出桐城张英门，时有‘大小张英’之号。及十七年，张子廷瓒复出英门人，传为佳话。”
康熙,杭州府海宁州,陈齐永,,,,,,
康熙,杭州府海宁州,翁暠,,,,,,
康熙,杭州府海宁州,蒋德昌,治《易经》。康熙十一年（1672）乡试第二十九名，康熙二十一年（1682）会试第二十七名，殿试第二甲第十三名，赐进士出身。,初授内阁中书，典康熙二十九年（1690）广西乡试。历官工部营缮司、都水司员外郎，擢刑部山西司郎中，出任湖广提学佥事，以劳卒，终年七十岁。,,,,《海宁州志稿》卷二八《人物志•循吏•清》：“蒋德昌，字聿修，号凝斋…⋯登康熙壬戌进士。授中书，迁屯田主事兼督两窑，值新建太和殿，综理精密，历营缮、都水员外郎，刑部山西司郎中。出为湖广提学佥事……以劳卒，年七十。”
康熙,杭州府海宁州,许汝龙,治《易经》。康熙十四年（1675）乡试第七名，康熙二十一年（1682）会试第六十名，殿试第二甲第二十名，赐进士出身，授翰林院汉书庶吉士。,散馆授编修，迁侍讲学士，康熙三十年（1691）提督江南学政。历工部、户部、礼部待郎，晋礼部尚书兼理户部，充康熙二十六年（1687）四川乡试、康熙四十二年（1703）会试考官。康熙五十九年（1720）卒于家，终年八十一岁。著有《德星堂文集》《诗集》《河工集》等。,,,,"雍正《敕修浙江通志》卷一七八《人物六•文苑一•杭州府，国朝》：“许汝霖，（《公举事实》）号时庵，海宁人。天性孝友，中康熙壬戌进士，选庶常。历赞善，督江南学政……升工部侍郎，历户、礼两部侍郎，晋礼部尚书，予告归。汝霖读书，根抵六经，旁及子史，故发为文章词醇理正⋯⋯⋯所著有《德星堂文集》十二卷、《诗集》五卷行世。”
《海宁州志稿》卷二八《人物志•名臣•清》：“许汝，榜名汝龙，字时庵•⋯中康熙壬戌进士，选庶常。历赞善，视学江南，厘正文体，整伤士风，试卷脍炙人口。丁卵典试四川，癸未总裁会试……科场例不录五经卷，汝霖任礼部侍郎，力持之，得增额有差……召为户部侍郎，寻晋礼部尚书兼理户部……立朝三十年，精白乃心，圣祖嘉其绩，亲书‘清慎’匾额赐之⋯⋯归，著书讲学，式化乡间。年八十三卒。”"
